date,trump_polling_average,harris_polling_average,lead,candidate_lead
2024-08-01,45.8746,43.54575,2.33,trump
2024-08-02,45.8048,43.7277,2.08,trump
2024-08-03,45.8463,43.68015,2.17,trump
2024-08-04,45.92985,43.9024,2.03,trump
2024-08-05,45.84125,44.0405,1.8,trump
2024-08-06,45.3732,44.1139,1.26,trump
2024-08-07,45.413799999999995,44.25895,1.15,trump
2024-08-08,44.792649999999995,44.34635,0.45,trump
2024-08-09,44.84,44.40375,0.44,trump
2024-08-10,44.7732,44.878550000000004,0.11,harris
2024-08-11,44.8036,44.81655,0.01,harris
2024-08-12,44.79145,45.0974,0.31,harris
2024-08-13,44.848299999999995,45.108850000000004,0.26,harris
2024-08-14,44.65565,45.3223,0.67,harris
2024-08-15,44.126400000000004,45.07115,0.94,harris
2024-08-16,44.383250000000004,44.96455,0.58,harris
2024-08-17,44.1078,45.3666,1.26,harris
2024-08-18,44.185249999999996,45.4983,1.31,harris
2024-08-19,44.46705,45.2231,0.76,harris
2024-08-20,44.55575,45.2739,0.72,harris
2024-08-21,44.39765,45.583349999999996,1.19,harris
2024-08-22,44.32325,45.75915,1.44,harris
2024-08-23,44.414699999999996,45.77265,1.36,harris
2024-08-24,44.4942,45.8646,1.37,harris
2024-08-25,44.5636,45.77405,1.21,harris
2024-08-26,44.569199999999995,45.9269,1.36,harris
2024-08-27,44.6837,45.5373,0.85,harris
2024-08-28,45.08905,46.046800000000005,0.96,harris
2024-08-29,46.12405,46.4867,0.36,harris
2024-08-30,46.3425,46.43875,0.1,harris
2024-08-31,46.51875,46.616,0.1,harris
2024-09-01,46.58625,46.6862,0.1,harris
2024-09-02,46.55215,46.632,0.08,harris
2024-09-03,46.622749999999996,46.60425,0.02,trump
2024-09-04,46.9205,46.2787,0.64,trump
2024-09-05,47.09665,46.5141,0.58,trump
2024-09-06,47.258250000000004,46.65045,0.61,trump
2024-09-07,47.24765,46.528,0.72,trump
2024-09-08,47.593999999999994,46.84455,0.75,trump
2024-09-09,47.820499999999996,46.8583,0.96,trump
2024-09-10,47.85695,46.865700000000004,0.99,trump
2024-09-11,47.78735,46.723200000000006,1.06,trump
2024-09-12,47.706100000000006,46.84165,0.86,trump
2024-09-13,47.54575,46.81445,0.73,trump
2024-09-14,47.45765,46.7114,0.75,trump
2024-09-15,47.46795,46.72635,0.74,trump
2024-09-16,47.40975,46.7612,0.65,trump
2024-09-17,47.2836,46.85945,0.42,trump
2024-09-18,47.109049999999996,47.134299999999996,0.03,harris
2024-09-19,47.47235,47.00165,0.47,trump
2024-09-20,47.50625,46.9932,0.51,trump
2024-09-21,47.5484,46.97795,0.57,trump
2024-09-22,47.5103,47.049499999999995,0.46,trump
2024-09-23,47.760850000000005,46.61875,1.14,trump
2024-09-24,47.8799,46.66405,1.22,trump
2024-09-25,47.9132,46.84855,1.06,trump
2024-09-26,47.8943,47.0726,0.82,trump
2024-09-27,48.03695,46.76445,1.27,trump
2024-09-28,48.021150000000006,46.79245,1.23,trump
2024-09-29,47.8755,46.86225,1.01,trump
2024-09-30,47.928650000000005,46.8137,1.11,trump
2024-10-01,48.2882,46.78855,1.5,trump
2024-10-02,48.0513,46.9067,1.14,trump
2024-10-03,48.06955,46.8414,1.23,trump
2024-10-04,48.14545,46.7588,1.39,trump
2024-10-05,48.153800000000004,46.74935,1.4,trump
2024-10-06,48.0833,46.79435,1.29,trump
2024-10-07,48.1728,46.6622,1.51,trump
2024-10-08,48.1222,46.866749999999996,1.26,trump
2024-10-09,48.1275,46.7608,1.37,trump
2024-10-10,48.231449999999995,46.7669,1.46,trump
